tokens,tags
Essbase,B-application
Hyleos,B-vendor
wgEnableProfileInfo,O
WebFTP,O
0.25.21,I-version
Content,I-application
Elimination,O
exceptions,O
7.5,I-version
filemanager_view_filter,B-parameter
Amazon,B-vendor
CVE-2010-2568,B-cve id
help_list.php,O
9.7.6-P2,I-version
OpenID4Java,B-application
mod/wiki/view.php,B-file
Developer,B-edition
ospf6_lsa_is_changed,B-function
T-Series,B-version
7.x-1.4,B-version
Servlet,I-application
rails,O
8.0.1,B-version
Lingotek,B-application
shmemmgr9.dll,B-file
5.3SP1,B-version
AutoTagging,B-application
1794-AENTR,O
3.8.15,I-version
premission,B-update
4.2.2,B-version
xrdb,B-application
ApplicationXtender,B-application
302,I-version
NitroView,O
path_faqe,B-parameter
PRO,I-application
Community,B-application
tags,O
res,O
hotfix,I-version
admin/controller.php,B-file
1.0.3,I-version
Moviebase,B-application
event_id,B-parameter
5.5.2.10,I-version
"8.5(1.11),",I-version
8.02HP2,I-version
active_support/core_ext/hash/conversions.rb,B-file
raw-format,O
decode_xs,B-function
1.0.0.15,B-version
Firewall,B-application
one,O
frmCustomReport.aspx,O
Infoblox,B-vendor
nbd-server.c,O
3.0.21,I-version
CVE-2010-0899,B-cve id
Receiver,O
pppol2tp_sendmsg,B-function
variable,O
CVE-2010-4309,B-cve id
CREATEIN,O
backup.php,O
LIKE,O
6.0.x,I-version
Timesheet,I-application
hb-buffer.c,B-file
calculator_type,B-parameter
9500,B-version
4.70,B-version
1.3.3d,I-version
BINLOG,O
paste_lang,B-parameter
AVI_ChunkRead_strf,B-function
6.6,B-version
AdobeCollabSync,B-application
phar_stream_flush,B-function
stcenter.nsf,O
6.5,B-version
2.0.63,I-version
DCS-932L,B-hardware
1.00.55.5010,B-version
1.1.2b,B-version
cn.com.wali.walisms,O
admin/conf_users_edit.php,B-file
The,B-application
previous,B-update
7.10r1,B-version
Hybrid2,O
Slingshot,B-application
6.x-2.2,B-version
actionpack/lib/action_view/helpers/form_tag_helper.rb,B-file
0.2.2.34,I-version
Classic,I-application
Spaces,B-application
Runtime,O
SP32,O
Webserver,I-application
HTTPDownloadFile,O
9.22,I-version
CVE-2010-0414,B-cve id
details,O
remote,B-relevant_term
Thunderbolt,B-hardware
wp-admin/index.php,B-file
WikkaWiki,B-application
6.1(5)SU1,I-version
8.4.5,I-version
getid3/getid3/write.id3v1.php,B-file
epan/dissectors/packet-3g-a11.c,B-file
TC,O
Horizon,I-application
Magelis,B-hardware
get_popUpResource,B-parameter
8.60,B-version
3.0.1,I-version
OpenFileDlg(),B-function
C.3.x,B-version
table,O
11.1.111.43,I-version
3.2.xSG,B-version
_loadPage,B-parameter
Team,I-application
mousemove,O
VIDIOCSTUNER,O
unmarshaling,O
nsHTMLCSSUtils::CreateCSSPropertyTxn,B-function
CSCto92380,O
CVE-2010-0245,B-cve id
dbg-stability.txt,O
guestbook/gbook.php,B-file
SE3006,O
Peakflow,B-application
printers,O
UICMD,O
Pwngame,B-application
2.0.3129.70,B-version
10.0.7,I-version
LaserJet,B-hardware
WP,I-application
4.6.8/5.8.5,B-file
preferences.php,B-update
Monpura,B-application
CVE-2012-0126,B-cve id
Perl,B-application
llc_ui_recvmsg,B-function
Client,O
GRI40,B-version
1.0.118,B-version
XMKD,O
FAX3,O
Rental,I-application
Cruzer,B-hardware
wordpress-processing-embed/data/popup.php,B-file
KGetMetalink::File::isValidNameAttr,B-function
MPlayer,B-application
projectVersion,B-parameter
Item,O
Hack,I-application
0.12.1,I-version
PAC,O
10e,B-version
1.198,B-version
1.25.0,B-version
1.0.0.7,I-version
tmemc_restore_put_page,O
libcgroup,B-application
4.27,I-version
2.6.12,B-version
5.5.28a,B-version
11.0.1.6,B-version
10.3.0.2,B-version
FP13,I-version
Live.php,O
modules/xmpp/serv_xmpp.c,B-file
CVE-2012-6496,B-cve id
nsDOMWindowUtils,O
fs/udf/namei.c,B-file
Directory.Item.displayName,B-parameter
7.42,I-version
9.7.2-P1,I-version
build9642-20101214,O
wphoto,O
data,O
p2m,O
2.1.x,B-version
NtUserCheckAccessForIntegrityLevel,B-function
GetServerName,B-function
XIV,B-hardware
modules/filter/filter.module,O
NovaBoard,B-application
Helix,B-application
Directory.Item.name,O
6.1SU,B-version
Messaging,I-application
blog.php,O
setup_cifs_sb,B-function
5.5.2.x,B-version
Availability,I-application
BaconMap,B-application
filename_*,O
sprop-parameter-sets,O
CSCue67190,O
3.4.181.224,B-version
wp-twitter-feed,B-application
CVE-2010-0904,B-cve id
CVE-2010-0906,B-cve id
10.7.4,I-version
Moderation,I-application
Project,I-vendor
SR-IOV,O
3.1.6,I-version
wp-admin/admin.php,B-file
LAN,B-vendor
Subdreamer,B-application
Editor,I-application
Highly,B-application
qp2,O
2.0.16,I-version
4.1.4,I-version
_forum/index.php,B-file
SQL,B-application
2.27,I-version
MT4i,B-application
Jfeedback,O
GlusterFS,B-function
2.0.18.23122,I-version
operating,O
OMRON,B-vendor
10.1.2,I-version
delayed,O
World,B-application
CVE-2010-2371,B-cve id
Race,B-relevant_term
BMXNOE0100x,B-version
ExternalIVR,O
CONTIMEX,B-vendor
worm,O
Sawmill,B-application
Wireless,I-application
Aid,I-application
vCenter,O
Viscacha,B-application
3.01,B-version
6.21.3.0,B-version
"persent[],",O
command_name,B-parameter
Games,I-application
PayPal,B-application
22,I-version
6.0.0.8-TIV-ITDS-IF0007,B-version
4.2.9,I-version
0.37.1,I-version
SendErrToClient,B-function
members,O
TBODY,O
mitosyfraudes.org,O
6.0.2.42,B-version
10.6.7,B-version
PHPYun,B-application
EL,B-application
Login/HostLogin.asp,B-file
0x97,B-version
ocx,O
1.52,I-version
owa/ev.owa,B-file
apt-add-repository,O
5.31,I-version
2.0.2,B-version
txtlookgender,O
minprice,O
underrun,O
CodeMeter.exe,O
4.8.1351.0,B-version
application_name,B-parameter
XnView,B-application
16-bit,O
log.c,B-file
8.4.11,I-version
pe,O
6.11,B-version
7.6.10,I-version
SWF,B-application
CVE-2007-4567,B-cve id
Double-Free,B-version
psw,O
2.5.1,I-version
9.2.0.8,B-version
template/en/default/list/list.js.tmpl,B-file
2.1.2_p1,I-version
137,I-version
Matrix,B-version
Addressbook,O
large,O
folsom-2,I-version
Industrial,O
0.32.9,I-version
Nullsoft,B-vendor
SafeBuffer,O
7.0.3.5,B-version
0x24C0,B-version
2.104,I-version
RAP,O
InternationalSeparator(),B-method
fatal,O
injection.class.php,O
8.1.3,I-version
1.20.0,I-version
omniauth-oauth2,B-application
newWindow,B-parameter
Storm,B-application
Admin/frmEmailReportSettings.aspx,B-file
kernel/sysctl.c,B-file
5.623,I-version
0.7.8,I-version
action/login.py,B-file
gv_send,O
8.4.2-261024,B-version
1.5-x,B-version
manager,O
2.73,I-version
C++,B-PL
severe,O
CVE-2010-3060,B-cve id
desc,O
f[accounts][fullname,O
Python,I-application
coID,B-parameter
MP3,B-update
LabelPrint,B-application
3.5.0-4,I-version
2282_dlinkA4_p8_20071213,O
s2member_pro_authnet_checkout[coupon,O
iChat,B-application
Niedrig,B-application
TFTP,B-application
GitHub,B-application
4.08,I-version
comment/comment_post.php,B-file
preg_replace,B-function
3.0.44,I-version
ParameterInterceptor,B-application
7bb,B-version
6400,B-version
dirty,O
WebCenter,B-application
R9,I-version
napi_reuse_skb,B-function
M-Player,B-application
3.8.3,I-version
9.0.791,B-version
PDF,I-application
templates/hycus_template/template.php,B-file
9.2.1.0,B-version
Fortify,B-application
060.070.109.11407,B-version
PPMC,O
12.0.0.1569,B-version
Nmedia,B-vendor
terminated,O
azx_position_ok,B-function
Pulse,B-application
admin/configuration/.,O
png_err,B-function
Specific,O
4.4.1,B-version
adminimize/adminimize_page.php,B-file
read_buf,B-function
files_sharing/ajax/setpermissions.php,B-file
Base,B-application
cohort/edit.php,B-file
addBookmark.php,O
ProxySG,B-hardware
SQLiteManager,B-application
8.5.4,I-version
font-family,O
admin/displayImage.php,B-file
OpenJDK,B-application
HotBrackets,B-vendor
ZXDSL,B-hardware
file's,O
through,I-version
2.6.36-rc3-next-20100901,I-version
12-31-2011,I-update
cid0,O
15.0,I-version
20090522,B-version
Analyst,I-application
CVE-2009-2702,B-cve id
5520,O
WRVS4400N,B-hardware
remainder,O
LookupGetterOrSetter,B-function
MaxCap,O
X11R7.6,B-version
Galeri,I-application
Fedora,B-os
next_pidmap,B-function
CVE-2005-2407,B-cve id
message.send/message.send.php,B-file
GetEXIFProperty,B-function
reliably,O
Black,I-application
Pointter,B-application
OnPrem,I-application
ElGamal,O
Retina,B-application
1.7.10,I-version
add_ons.php,O
Report,I-application
17.0.963.83,I-version
4.01,B-version
11.2.1.4.1,B-version
hpmud_get_pml,B-function
1.2.4,B-version
memory,B-relevant_term
corrupt,O
11.5.502.136,I-version
user_field,B-parameter
CVE-2010-3656,B-cve id
0.10.1,I-version
dom/base/nsJSEnvironment.cpp,B-file
9.0.13,I-version
sparse,O
YouSayToo,B-application
X11,B-application
CVE-2011-3026,B-cve id
3.2.0.2,B-version
SetSeed,B-application
SCM,I-application
stickynote,B-application
qualified,O
Oxide,B-application
On-Demand,B-version
forked,O
resulttype.asp,O
dissect_r3_cmd_alarmconfigure,B-function
epan/dissectors/packet-dcm.c,B-file
3.0.11818,B-version
3.6.25,I-version
Payload,O
Manager,I-os
ViewPoint,I-application
CSCsz48614,O
R73.x,B-version
XP,B-version
0.9.4,I-version
IP-HTTPS,B-application
PowerProducer,B-application
Really,B-application
BuildTextRunsScanner::BreakSink::SetBreaks,B-function
vsf_filename_passes_filter,B-function
net/dcb/dcbnl.c,B-file
5.2.0.6288.0,B-version
httpconn.c,B-file
MP1,I-version
Code,B-relevant_term
zend_builtin_functions.c,B-file
Mutt,B-application
MediaWikiParserTest.php,O
system/src/dispatcher.php,B-file
DvZediTermSrvInfo004.dll,B-file
130,B-version
Azeotech,B-vendor
MicroLogix,B-application
1.02,B-version
X3,B-application
CSCue14517,O
SmartConnector,I-application
Client,B-application
3.5.15,I-version
3.4.07,B-version
CVE-2010-1028,B-cve id
libavcodec/indeo4.c,B-file
Neturf,B-vendor
TSXETY5103,B-version
10.7.x,B-version
CVE-2013-0960,B-cve id
1.1.6.1,B-version
translate_desc,B-function
do_tmem_destroy_pool,B-function
Joomanager,B-application
Vino,O
include/asm-x86/div64.h,B-file
7.0.0.3,I-version
8.60.005,B-version
hosts.deny,O
addressbook/register/linktick.php,B-file
2.6.38-rc4-next-20110215,I-version
RECRUIT,B-vendor
8.1.21,I-version
CVE-2013-0619,B-cve id
7.4.0-00,I-version
8.0.552.215,I-version
README_FILES/livehelp.php,B-file
__isset,O
showImg.php,O
5.8,I-version
Servers,I-application
PCS7,B-version
getDeclaredMethods,O
visitor_language,B-parameter
src/client.c,B-file
PROMOTIC,B-application
Sotirov,O
1.1.2.18,B-version
inc/footer.inc.php,B-file
context-menu,O
CVE-2010-3640,B-cve id
optimizations,O
10.11.1-digiumphones,I-version
2.3.18,I-version
system/classes/login.php,B-file
Settings,B-application
crypto/cms/cms_asn1.c,B-file
Sandra,B-application
workflow_id,B-parameter
USB,I-hardware
ControlLogix,B-hardware
time_page,O
exploitable,O
Node,I-vendor
req_new_password2,O
browser/renderer_host/database_dispatcher_host.cc,B-file
0.80.61,I-version
modules/guestbook/blocks/control.block.php,B-file
6.155,I-version
Conversions,O
CSCtr61490,O
copies,O
EasyBiller,B-application
_zip_name_locate,B-function
1.2.1,I-version
fieldnames,O
curl,B-application
Remote-Anything,B-application
7.0.0.15,I-version
tmemc_save_get_next_inv,B-function
9.12,B-version
xen/arch/x86/mm.c,B-file
views/post.php,B-file
7.3.46,I-version
seeding,O
11.0.x,B-version
5.0.88,B-version
1.41,B-version
Citrix,B-vendor
Mono,B-application
Clantools,B-application
66316,O
6.x-4.x,B-version
utils.c,B-file
WPtouch,B-application
#23,O
0x2C,B-version
SimGear,B-application
drivers/infiniband/core/uverbs_cmd.c,B-file
libsasl,O
OpenURLInDefaultBrowser,B-method
dot,I-relevant_term
8.5.1.1,I-version
2.10.19,I-version
underflow,B-relevant_term
6.1.0.11,I-version
FVS318N,I-hardware
SR2,B-version
AChecker,B-application
colorwheel.php,O
1.4.001+.002,B-version
1.9.3-p194,B-version
CVE-2013-0787,B-cve id
CoreController.js,O
two,O
wf_topicfs.htm,O
IRIX,B-os
2110,O
6.9,I-version
2009-12-25c,B-version
6.x-2.0,I-version
2.6.36-rc8,I-version
rejecting,O
Folsom,B-application
IA32,O
0.9.8m,I-version
9.4.7,I-version
host-services,O
CVE-2011-0604,B-cve id
classes/GoogleSpell.php,B-file
0.14.0,B-version
net/rose/rose_subr.c,B-file
2.0.4,B-version
Sitecom,B-vendor
1.6.450,I-version
gfs2_lock,B-function
2.20.0,B-version
Beans,I-application
atk-adaptor/bridge.c,B-file
8.0.5,I-version
"KDC),",O
Macho-O,O
DOM,B-application
10.3.0.3,B-version
2499,O
CVE-2010-0462,B-cve id
F-Secure,B-vendor
6.x-2.9,I-version
4.0.6,B-version
Shibboleth,B-vendor
Alpha2,O
10.8.2,I-version
private/power_module.php,B-file
Certificate,B-application
PayFlow,I-application
11.5.502.135,I-version
Net,I-application
7.3,B-version
IoRush,O
ah,O
4.0.249,B-version
0.9.6,I-version
6.50,B-version
cxgb_extension_ioctl,B-function
1.9.16,I-version
Groupware,I-application
6.x-2.0-rc4,I-version
Scanner,I-application
4.9.2,B-version
Lanoba,B-application
6.2.0.22,B-version
8.0x,B-version
doc_id,B-parameter
10.3.181.22,I-version
sos,B-application
input_file,B-parameter
selStock,B-parameter
3.0.11,I-version
Use-after-free,B-relevant_term
2.7.2,B-version
lib/lib.iotask.php,B-file
3.0.0.5,B-version
WorkStation,O
net/rds/rdma.c,B-file
cal_from_jd,B-function
delegations,O
7.0.0.0,B-version
being,O
PhotoImpact,B-application
hive,O
admin/gallery/view.php,B-file
jag/database.sql,B-file
CommonSense,B-application
Truncation,B-relevant_term
JAMWiki,B-application
PCI[E,O
playerID,B-parameter
L10,B-version
whereProtocolClause,O
up-to-date,O
mt_rand,B-function
Erlang/OTP,O
CSCud40235,O
7.2.111.3,I-version
OpenOffice.org,B-application
Layout,O
current_folder,B-parameter
OmniInet,O
charts.swf,O
Aris,O
3.4.9,I-version
involved,O
AutarTimonial,O
fs/ext4/extents.c,B-file
per,O
com_gantry,O
functions/mime.php,B-file
Sharepoint,O
Blink,B-application
ELO,B-hardware
FontForge,B-application
0.7.26,I-version
Plugin,I-application
RDBMS,I-application
7.1.2.9,I-version
Filter,O
act,O
apps/files/js/filelist.js,B-file
1.1.1.1,B-version
ghash_update,B-function
Consolidation,O
10.7.x,I-version
4.30.5,I-version
x25_parse_facilities,B-function
BPEL,B-application
12.1.1,I-version
wp_xml_export.php,O
d_itemid,B-parameter
S4,B-version
WWCabFile,B-application
7.x-3.0,I-version
4.3.4.1,B-version
8.05,B-version
control,I-application
7.1.2.6,B-version
Load.php,B-file
cbuser,O
BeZIP,B-application
1.3.3,I-version
7.1.1.x,B-version
10.5.1,I-version
LUA,O
CKEditor,B-application
mnet/lib.php,B-file
DHE,O
Express,B-edition
io_dir.c,B-file
2.19.1,B-version
Themida,B-application
2.2.3,B-version
CVE-2009-0075,B-cve id
Delivery,I-application
dissect_hsrp,B-function
CVE-2013-3326,B-cve id
xfrm6_tunnel_rcv,B-function
FlashPix,B-application
Connections,I-application
2.6.32,B-version
decode_frame,B-function
SciTools,B-vendor
1.540,B-version
5000,B-version
BIDS,I-application
Content-Length,O
UFS,O
adminlogin.php,O
encapsulation,O
fault/AlarmView.do,B-file
CVE-2010-2178,B-cve id
0.10.156.46,B-version
Baby,B-application
1.498,I-version
SALOME,B-application
Applet,I-application
0.10.2,B-version
convinces,O
lg.uplusbox,O
img/gifread.c,B-file
Touch,I-application
Banckle,B-application
ds:Transform,O
submitnews_title,B-parameter
Empathy,B-application
0.9.14,B-version
SLiM,O
0.3.10,I-version
zenon,B-application
TV21,B-application
elf/dynamic-link.h,B-file
0.30.x,B-version
Slapi_Attr,O
virtio_net_bad_features,B-function
Horde,B-application
apps/bookmark/index.php,B-file
virtio_blk_handle_write,B-function
vocabulary's,O
tidy_diagnose,B-function
BR-6104K,B-hardware
epan/dissectors/packet-ansi_a.c,B-file
SiteLife,I-application
fs/ocfs2/aops.c,B-file
mod_ldap,O
jdmarker.c,B-file
Requires,O
Yahoo!,O
bouncer,I-application
FileCOPA,B-application
SP1,B-update
2.6.27,I-version
log_prefix,B-function
EOSDataServer.exe,O
addon,I-application
4.0.0,B-version
Developers,I-application
MU#16,I-version
12.0.2.20,B-version
web/swat.c,B-file
Radeon,O
admin/create_acct.php,B-file
Controls,I-application
matcher,O
context,O
FFFTP,B-application
2.1.14,I-version
Outpost,B-application
NSFComputeEvaluateExt,B-function
2.10.17,B-version
control/db_backup.php,B-file
5.3.5-1ubuntu7.10,I-version
ChurchCMS,B-application
tmpl,O
1.0.1.4o,I-version
bitmask,O
Music-on-Hold,O
chan_sip.c,O
add_widget.php,O
1.2.3,B-update
2.4,I-version
com_print_typeinfo,B-function
btrfs_ioctl_clone,B-function
do_task_stat,B-function
Responder,I-application
1:4.1.4,B-version
1.4.2012.508,I-version
Memory,B-relevant_term
phpWebSite,B-application
return_module,B-parameter
ZenLite,B-application
template/babyweb/index.php,B-file
CVE-2008-7303,B-cve id
CSDWebInstaller.ocx,O
browser/base/content/browser.js,B-file
Rekishimail,B-application
12,B-version
304.88,I-version
KMSoft,B-vendor
1.1.4,I-version
ApPHP,B-vendor
Kernel/System/Ticket.pm,B-file
Proventia,B-hardware
Visialis,B-vendor
readfilemap.c,O
sctp_auth_asoc_get_hmac,B-function
TotalCare,B-application
Grid,I-application
script-fu,O
2.20.11,I-version
11.65,I-version
HotSpot,B-application
dev_ifconf,B-function
demonstrated,O
sis,O
9's,O
CharDistributionAnalysis::HandleOneChar,B-function
5.0.0.5082,B-version
Job_Name,O
OpenWnn,B-application
system/libs/javascript.inc.php,B-file
webservice/lib.php,B-file
RequestScreenOptimization,B-function
PHPads,B-application
G41,B-application
Access,B-relevant_term
Uyghur,O
CVE-2007-2942,B-cve id
URL,I-application
logging/settings.cfm,B-file
mshtml.dll,B-file
sticky-bit,O
magic_quotes_gpc,O
disp+work.exe,B-file
language-selector,B-application
1,B-version
7.8.2.14,B-version
Dynamic,I-application
CVE-2013-1309,B-cve id
6.5.3,B-version
FTP,I-application
GoodReader,B-application
return_desc,B-parameter
CommonSense,I-application
chsellector,B-application
Ariadna,I-application
15.3,I-version
system-config-firewall,B-application
AdaptCMS,B-application
6.0.0.11,I-version
Likewise,B-vendor
DEFINEFONT,O
Tremulous,B-application
CVE-2013-0612,B-cve id
Downloadshop,I-application
system/functions.php,B-file
4.2.0-13,I-version
CSCtn50645,O
CFHDDecoder.dll,B-file
CVE-2012-0117,B-cve id
5.3.4,B-version
8.3.20,I-version
lib/moodlelib.php,B-file
AGEE,B-update
Control,I-application
pkexec.c,O
calendar/delete.php,B-file
Mapper,I-application
storecat.php,O
Interactive,B-application
XWork,O
Service,I-application
Cat,B-vendor
addslashes,O
Merge,B-hardware
4.5.0,B-version
Portal,I-version
BloofoxCMS,B-application
Smart,B-hardware
2.6.38.5,I-version
forgery,B-relevant_term
GIS,O
CVE-2012-5387,B-cve id
1.10,I-version
5.8.211697.2124,I-version
5.5.28a,I-version
Libav,B-application
Work,I-application
mosConfig.absolute.path,B-parameter
9.7.0,B-version
lib/active_support/json/backends/yaml.rb,B-file
CP07,B-update
constraint,O
11.2,B-version
wrong,O
learn/cubemail/menu.php,B-file
2.6.0.1,B-version
ESCON,B-application
1.6.16,I-version
M8000,O
Movie,B-application
vba_extract.c,B-file
epan/dissectors/packet-pw-eth.c,B-file
Elgg,B-application
CSCtg68694,O
hw/e1000.c,B-file
5.0.594,B-version
PyPam,B-application
XP,O
..%5c,B-version
couchdb,B-application
AC_5.03,I-version
Assistant,I-application
fpm,O
strongSwan,B-application
wp-integrator.php,O
Internet,B-application
Password,B-relevant_term
tif_strip.c,B-file
Cart,O
CVE-2012-5059,B-cve id
Lasso,O
VSX,O
As,O
CSCtk34535,O
Update,I-update
event_name,O
Finger,O
Desktop,B-application
dissect_hartip,B-function
1.8.11,B-version
application/modules/admin/controllers/users.php,B-file
kernel/futex.c,B-file
Information,B-relevant_term
forum.php,O
Sonexis,B-vendor
verpost.php,O
ioctl,O
Overwrite,B-relevant_term
Schein,O
Style,I-application
4.3.2.0,B-version
9.00.00.11063,B-version
501,O
7.5.0,I-version
interface/login/validateUser.php,B-file
4.0rc1,I-version
content,I-application
Animation,I-application
powermail,B-application
debug-logging,O
2.0.64,I-version
Hypermail,B-application
multipart_init,B-function
9.9.1-P1,I-version
Mobile,O
afs/LINUX/osi_vnodeops.c,B-file
2.6.36.2,I-version
3.8,B-version
HF89,I-version
6.x-2.5,I-version
web,B-edition
Reflection,B-application
PackageKit,O
adjustment,O
real,O
ogroup/mod_group.php,B-file
OFS/misc_.py,B-file
5.0.375.99,I-version
CVE-2011-0566,B-cve id
MRG,O
Pmail,I-application
2.2.20,B-version
11.8326.11.8324,B-version
Distributor,O
CVE-2010-1358,B-cve id
SymmetrE,B-application
teachers.html,O
nsXBLDocumentInfo::ReadPrototypeBindings,B-function
5.3.0,B-version
CompactLogix,B-hardware
SWiSH,B-application
6.0.1.4,B-version
